onset	duration	run_number	trial_number	task_condition	fix_direction
84946.03922	14.30000052	1	1	1	1
84960.33922	14.30000056	1	2	1	2
84974.63922	14.30000048	1	3	1	3
84988.93922	14.30000094	1	4	1	4
85003.23922	14.30000022	1	5	1	5
85017.53922	14.30000131	1	6	1	6
85031.83922	14.30000074	1	7	1	7
85046.13922	14.30000086	1	8	1	8
85060.43922	14.30000073	1	9	1	9
